Feature,Precision,Recall
--_a,0.45161290322580644,0.0026261489401613208
--_an,0.5,5.627462014631402E-4
--_and,0.4,0.006752954417557681
--_as,0.35714285714285715,9.379103357719002E-4
--_at,0.6,5.627462014631402E-4
--_but,0.4473684210526316,0.0031888951416244606
--_even,0.4444444444444444,7.503282686175201E-4
--_i,0.5,5.627462014631402E-4
--_if,0.5714285714285714,7.503282686175201E-4
--_in,0.25,5.627462014631402E-4
--_is,0.5789473684210527,0.0020634027386981805
--_it,0.5,0.0018758206715438004
--_just,1.0,9.379103357719002E-4
--_like,0.7142857142857143,9.379103357719002E-4
--_not,0.2,3.7516413430876007E-4
--_or,0.7222222222222222,0.0024385668730069407
--_that,0.4375,0.0013130744700806604
--_the,0.5454545454545454,0.0033764772087788407
--_there,0.6,5.627462014631402E-4
--_to,0.5555555555555556,9.379103357719002E-4
--_which,0.5,9.379103357719002E-4
--_with,0.5555555555555556,9.379103357719002E-4
--_you,0.2,1.8758206715438003E-4
-lsb-_a,0.5217391304347826,0.0022509848058525606
-lsb-_it,0.42857142857142855,5.627462014631402E-4
-lsb-_t,0.875,0.0013130744700806604
-lsb-_the,0.46153846153846156,0.0011254924029262803
-rsb-_<COMMA>,0.4,3.7516413430876007E-4
-rsb-_a,0.5714285714285714,7.503282686175201E-4
-rsb-_has,0.5454545454545454,0.0011254924029262803
-rsb-_is,0.2,3.7516413430876007E-4
-rsb-_makes,0.0,0.0
-rsb-_to,0.6,5.627462014631402E-4
10_minutes,0.75,0.0011254924029262803
2002_<PERIOD>,0.6666666666666666,0.0011254924029262803
2002_’s,0.4,3.7516413430876007E-4
20_minutes,0.6,5.627462014631402E-4
20_years,0.5,5.627462014631402E-4
21st_century,0.6,5.627462014631402E-4
2_<COLON>,0.4,3.7516413430876007E-4
2_is,0.5,5.627462014631402E-4
80_minutes,0.8571428571428571,0.0011254924029262803
90_minutes,0.9444444444444444,0.0031888951416244606
<ASTERISK>_<ASTERISK>,0.42857142857142855,5.627462014631402E-4
<CLOSEPAREN>_<COMMA>,0.5,0.003751641343087601
<CLOSEPAREN>_<PERIOD>,0.8260869565217391,0.0035640592759332208
<CLOSEPAREN>_and,0.4117647058823529,0.0013130744700806604
<CLOSEPAREN>_has,0.6,5.627462014631402E-4
<CLOSEPAREN>_in,0.6,5.627462014631402E-4
<CLOSEPAREN>_is,0.7142857142857143,9.379103357719002E-4
<COLON>_a,0.5294117647058824,0.0016882386043894203
<COLON>_ecks,1.0,0.0011254924029262803
<COLON>_he,0.4,3.7516413430876007E-4
<COLON>_it,0.7142857142857143,0.0028137310073157004
<COLON>_the,0.48148148148148145,0.0024385668730069407
<COLON>_this,0.8,7.503282686175201E-4
<COLON>_you,0.16666666666666666,1.8758206715438003E-4
<COMMA>_-lsb-,0.4375,0.0013130744700806604
<COMMA>_<SINGLEQUOTE>,0.6440677966101694,0.0071281185518664416
<COMMA>_a,0.4161849710982659,0.013505908835115363
<COMMA>_about,0.46153846153846156,0.0011254924029262803
<COMMA>_albeit,0.6,5.627462014631402E-4
<COMMA>_all,0.65,0.0024385668730069407
<COMMA>_almost,0.5555555555555556,9.379103357719002E-4
<COMMA>_along,0.8,7.503282686175201E-4
<COMMA>_although,0.5714285714285714,0.0015006565372350403
<COMMA>_always,0.16666666666666666,1.8758206715438003E-4
<COMMA>_amusing,0.09090909090909091,1.8758206715438003E-4
<COMMA>_an,0.2972972972972973,0.0020634027386981805
<COMMA>_and,0.4342403628117914,0.07184393172012755
<COMMA>_are,0.6428571428571429,0.0016882386043894203
<COMMA>_as,0.4953271028037383,0.009941849559182142
<COMMA>_at,0.5555555555555556,0.003751641343087601
<COMMA>_bad,1.0,0.0011254924029262803
<COMMA>_ballistic,1.0,9.379103357719002E-4
<COMMA>_barely,1.0,9.379103357719002E-4
<COMMA>_because,0.4117647058823529,0.0013130744700806604
<COMMA>_better,0.75,0.0011254924029262803
<COMMA>_both,0.2,3.7516413430876007E-4
<COMMA>_but,0.5186680121089808,0.09641718251735135
<COMMA>_by,0.45454545454545453,0.0018758206715438004
<COMMA>_charming,0.125,1.8758206715438003E-4
<COMMA>_colorful,0.2,1.8758206715438003E-4
<COMMA>_complete,1.0,0.0011254924029262803
<COMMA>_contrived,1.0,9.379103357719002E-4
<COMMA>_deeply,0.15384615384615385,3.7516413430876007E-4
<COMMA>_despite,0.64,0.0030013130744700805
<COMMA>_directed,0.7142857142857143,9.379103357719002E-4
<COMMA>_director,0.6,0.0011254924029262803
<COMMA>_do,0.6666666666666666,7.503282686175201E-4
<COMMA>_does,0.5714285714285714,7.503282686175201E-4
<COMMA>_done,1.0,9.379103357719002E-4
<COMMA>_dull,1.0,0.0015006565372350403
<COMMA>_dumb,0.7142857142857143,9.379103357719002E-4
<COMMA>_either,0.5555555555555556,9.379103357719002E-4
<COMMA>_energetic,0.0,0.0
<COMMA>_entertaining,0.1111111111111111,1.8758206715438003E-4
<COMMA>_especially,0.45161290322580644,0.0026261489401613208
<COMMA>_etc,1.0,9.379103357719002E-4
<COMMA>_even,0.46875,0.005627462014631401
<COMMA>_eventually,1.0,9.379103357719002E-4
<COMMA>_every,0.5714285714285714,7.503282686175201E-4
<COMMA>_except,0.6363636363636364,0.0013130744700806604
<COMMA>_family,0.2,1.8758206715438003E-4
